== real covers, P+R in 1..=8 (ns/code, best of 3) ==
   P,R  coverage    rows  a1t_rows b1t_codes   c4p_512  c4po_512   c4t_512  r2g_2cmp   r2g_sub   r6g_256   r6g_512
   5,1  0.000104    1122     1.623     1.022     4.971     0.775     0.663     0.377     0.360     0.376     0.406  clickbench-url-1m-gen1-s42.contains.L16.s1e-5.r2
   3,3  0.031092  336192     1.230     1.583     6.270     1.675     1.795     0.721     0.727     0.664     0.688  clickbench-url-1m-gen1-s42.contains.L16.s0.3.r0
   6,0  0.031517  341256     1.188     1.550     5.773     1.559     1.776     0.751     0.702     0.631     0.642  clickbench-url-1m-gen1-s42.contains.L16.s0.3.r1
   6,0  0.031517  341256     1.243     1.528     5.669     1.562     1.740     0.681     0.684     0.625     0.657  clickbench-url-1m-gen1-s42.contains.L16.s0.3.r2
   3,4  0.000994   10200     1.629     1.036     7.103     1.177     1.073     0.425     0.410     0.450     0.459  clickbench-url-1m-gen1-s42.contains.L8.s1e-2.r0
   3,4  0.001800   19422     1.595     1.062     7.403     1.285     1.304     0.418     0.419     0.471     0.468  clickbench-url-1m-gen1-s42.contains.L8.s1e-2.r3
   2,5  0.035669  367067     1.170     1.691     8.188     2.136     2.342     0.841     0.815     0.804     0.735  clickbench-url-1m-gen1-s42.contains.L8.s0.3.r2
   5,2  0.044474  481961     1.171     1.524     6.397     1.600     1.618     0.668     0.669     0.636     0.627  clickbench-url-1m-gen1-s42.contains.L8.s0.5.r1
   5,2  0.044499  482473     1.163     1.524     6.254     1.598     1.609     0.684     0.683     0.646     0.638  clickbench-url-1m-gen1-s42.contains.L4.s0.5.r1
   4,4  0.031524  339965     1.194     1.537     7.451     2.086     1.974     0.785     0.752     0.720     0.733  clickbench-url-1m-gen1-s42.contains.L8.s1e-2.r2
   7,1  0.044438  481819     1.165     1.522     5.766     1.653     1.595     0.673     0.662     0.629     0.607  clickbench-url-1m-gen1-s42.contains.L8.s0.5.r0
   2,6  0.052599  371331     1.442     2.081     9.198     2.700     3.115     1.238     1.226     0.955     0.920  clickbench-url-1m-gen1-s42.contains.L4.s1e-1.r1
